	Continent	Country	Year
R882	Africa	Lesotho	1977
R883	Africa	Lesotho	1982
R884	Africa	Lesotho	1987
R885	Africa	Lesotho	1992
R886	Africa	Lesotho	1997
R887	Africa	Lesotho	2002
R888	Africa	Lesotho	2007
R889	Africa	Liberia	1952
R890	Africa	Liberia	1957
R891	Africa	Liberia	1962
R892	Africa	Liberia	1967
R893	Africa	Liberia	1972
R894	Africa	Liberia	1977
R895	Africa	Liberia	1982
R896	Africa	Liberia	1987
R897	Africa	Liberia	1992
R898	Africa	Liberia	1997
R899	Africa	Liberia	2002
R900	Africa	Liberia	2007
R901	Africa	Libya	1952
R902	Africa	Libya	1957
R903	Africa	Libya	1962
R904	Africa	Libya	1967
R905	Africa	Libya	1972
R906	Africa	Libya	1977
R907	Africa	Libya	1982
R908	Africa	Libya	1987
R909	Africa	Libya	1992
R910	Africa	Libya	1997
R911	Africa	Libya	2002
R912	Africa	Libya	2007
R913	Africa	Madagascar	1952
R914	Africa	Madagascar	1957
R915	Africa	Madagascar	1962
R916	Africa	Madagascar	1967
R917	Africa	Madagascar	1972
R918	Africa	Madagascar	1977
R919	Africa	Madagascar	1982
R920	Africa	Madagascar	1987
R921	Africa	Madagascar	1992
R922	Africa	Madagascar	1997
R923	Africa	Madagascar	2002
R924	Africa	Madagascar	2007
R925	Africa	Malawi	1952
R926	Africa	Malawi	1957
R927	Africa	Malawi	1962
R928	Africa	Malawi	1967
R929	Africa	Malawi	1972
R930	Africa	Malawi	1977
R931	Africa	Malawi	1982
R932	Africa	Malawi	1987
R933	Africa	Malawi	1992
R934	Africa	Malawi	1997
R935	Africa	Malawi	2002
R936	Africa	Malawi	2007
R937	Asia	Malaysia	1952
R938	Asia	Malaysia	1957
R939	Asia	Malaysia	1962
R940	Asia	Malaysia	1967
R941	Asia	Malaysia	1972
R942	Asia	Malaysia	1977
R943	Asia	Malaysia	1982
R944	Asia	Malaysia	1987
R945	Asia	Malaysia	1992
R946	Asia	Malaysia	1997
R947	Asia	Malaysia	2002
R948	Asia	Malaysia	2007
R949	Africa	Mali	1952
R950	Africa	Mali	1957
R951	Africa	Mali	1962
R952	Africa	Mali	1967
R953	Africa	Mali	1972
R954	Africa	Mali	1977
R955	Africa	Mali	1982
R956	Africa	Mali	1987
R957	Africa	Mali	1992
R958	Africa	Mali	1997
R959	Africa	Mali	2002
R960	Africa	Mali	2007
R961	Africa	Mauritania	1952
R962	Africa	Mauritania	1957
R963	Africa	Mauritania	1962
R964	Africa	Mauritania	1967
R965	Africa	Mauritania	1972
R966	Africa	Mauritania	1977
R967	Africa	Mauritania	1982
R968	Africa	Mauritania	1987
R969	Africa	Mauritania	1992
R970	Africa	Mauritania	1997
R971	Africa	Mauritania	2002
R972	Africa	Mauritania	2007
R973	Africa	Mauritius	1952
R974	Africa	Mauritius	1957
R975	Africa	Mauritius	1962
R976	Africa	Mauritius	1967
R977	Africa	Mauritius	1972
R978	Africa	Mauritius	1977
R979	Africa	Mauritius	1982
R980	Africa	Mauritius	1987
R981	Africa	Mauritius	1992
R982	Africa	Mauritius	1997
R983	Africa	Mauritius	2002
R984	Africa	Mauritius	2007
R985	Americas	Mexico	1952
R986	Americas	Mexico	1957
R987	Americas	Mexico	1962
R988	Americas	Mexico	1967
R989	Americas	Mexico	1972
R990	Americas	Mexico	1977
R991	Americas	Mexico	1982
R992	Americas	Mexico	1987
R993	Americas	Mexico	1992
R994	Americas	Mexico	1997
R995	Americas	Mexico	2002
R996	Americas	Mexico	2007
R997	Asia	Mongolia	1952
R998	Asia	Mongolia	1957
R999	Asia	Mongolia	1962
R1000	Asia	Mongolia	1967
