	AveExpr	logFC	-log-pVal
Gene741	0.086	0.081	0.1305
Gene742	-0.213	0.084	0.1304
Gene743	-0.06	0.104	0.1294
Gene744	-0.079	0.072	0.1293
Gene745	-0.04	-0.133	0.1292
Gene746	-0.064	0.062	0.1291
Gene747	-0.021	-0.066	0.1286
Gene748	0.094	-0.086	0.1274
Gene749	0.047	-0.108	0.1266
Gene750	-0.015	-0.072	0.1265
Gene751	-0.108	-0.063	0.1262
Gene752	-0.122	0.148	0.1261
Gene753	-0.263	-0.085	0.1251
Gene754	-0.104	-0.073	0.1237
Gene755	-0.129	0.114	0.122
Gene756	-0.195	-0.069	0.1217
Gene757	0.045	0.061	0.1208
Gene758	-0.039	-0.077	0.1179
Gene759	0.028	0.108	0.1177
Gene760	-0.007	0.118	0.1173
Gene761	-0.006	-0.091	0.1173
Gene762	-0.069	-0.076	0.1169
Gene763	0.227	-0.076	0.1166
Gene764	-0.071	-0.076	0.116
Gene765	-0.155	0.068	0.115
Gene766	-0.084	-0.067	0.1146
Gene767	-0.093	0.063	0.1136
Gene768	-0.042	-0.054	0.1127
Gene769	0.284	0.099	0.1118
Gene770	0.039	-0.08	0.1085
Gene771	0.078	0.067	0.1083
Gene772	0.158	0.061	0.1078
Gene773	-0.056	-0.089	0.1071
Gene774	-0.103	-0.142	0.1067
Gene775	0.035	-0.082	0.106
Gene776	0.006	-0.076	0.1041
Gene777	0.104	0.101	0.1033
Gene778	-0.143	-0.107	0.1032
Gene779	0.062	-0.079	0.1031
Gene780	0.037	0.118	0.1017
Gene781	-0.176	0.066	0.1013
Gene782	-0.114	-0.062	0.1007
Gene783	0.115	0.197	0.1005
Gene784	0.183	0.115	0.1003
Gene785	-0.089	0.06	0.0994
Gene786	0.032	0.06	0.0993
Gene787	0.015	0.064	0.0986
Gene788	-0.072	-0.053	0.0978
Gene789	0.017	-0.067	0.0975
Gene790	-0.079	0.049	0.0969
Gene791	-0.061	0.121	0.0951
Gene792	-0.106	0.054	0.0948
Gene793	-0.091	-0.072	0.0941
Gene794	-0.037	0.06	0.0936
Gene795	-0.081	-0.053	0.0933
Gene796	-0.057	-0.047	0.093
Gene797	-0.164	-0.079	0.0907
Gene798	-0.077	-0.083	0.0905
Gene799	-0.121	-0.099	0.0896
Gene800	-0.173	-0.057	0.0887
Gene801	0.393	0.138	0.0881
Gene802	0.141	-0.046	0.0879
Gene803	0.192	-0.068	0.0873
Gene804	0.233	-0.049	0.0863
Gene805	-0.321	-0.057	0.0841
Gene806	-0.052	0.074	0.0841
Gene807	0.221	0.047	0.0834
Gene808	-0.148	0.052	0.0832
Gene809	-0.107	-0.061	0.0831
Gene810	0.116	0.057	0.0823
Gene811	-0.066	-0.043	0.0803
Gene812	-0.167	-0.044	0.0799
Gene813	0.033	-0.053	0.0797
Gene814	0.052	0.04	0.0795
Gene815	-0.098	-0.055	0.0792
Gene816	0.031	-0.046	0.0791
Gene817	0.011	-0.044	0.079
Gene818	-0.144	0.096	0.0788
Gene819	0.004	0.066	0.0787
Gene820	0.012	0.042	0.0787
Gene821	-0.112	0.056	0.0783
Gene822	0.01	0.064	0.0782
Gene823	-0.038	-0.044	0.0772
Gene824	0.092	0.04	0.0767
Gene825	-0.127	-0.113	0.0766
Gene826	0.043	0.048	0.0764
Gene827	0.174	-0.048	0.076
Gene828	-0.15	0.055	0.0755
Gene829	-0.064	0.048	0.0755
Gene830	-0.008	-0.048	0.0754
Gene831	-0.238	0.072	0.0721
Gene832	0.01	0.09	0.0717
Gene833	0.089	-0.038	0.0715
Gene834	-0.171	-0.041	0.0714
Gene835	-0.013	0.041	0.0714
Gene836	-0.076	0.059	0.0709
Gene837	-0.257	0.039	0.0707
Gene838	-0.077	0.045	0.0701
Gene839	0.144	0.044	0.0694
Gene840	-0.17	0.055	0.0686
Gene841	0.162	0.044	0.0683
Gene842	0.461	-0.074	0.0681
Gene843	0.152	0.062	0.0681
Gene844	0.065	0.035	0.0678
Gene845	-0.058	0.04	0.0674
Gene846	-0.035	-0.034	0.0659
Gene847	-0.14	0.039	0.0647
Gene848	-0.156	0.04	0.0639
Gene849	0.186	-0.047	0.063
Gene850	-0.017	-0.039	0.0621
Gene851	0.273	0.046	0.062
Gene852	-0.051	-0.041	0.0618
Gene853	0.143	-0.102	0.0614
Gene854	0.027	-0.042	0.0613
Gene855	0.13	-0.033	0.0606
Gene856	0.064	-0.036	0.0606
Gene857	0.019	-0.042	0.0599
Gene858	0.055	-0.036	0.0597
Gene859	0.004	0.037	0.0596
Gene860	-0.075	-0.081	0.0595
Gene861	0.006	-0.051	0.059
Gene862	0.341	-0.04	0.0582
Gene863	0.084	-0.035	0.058
Gene864	-0.037	-0.035	0.0574
Gene865	0.216	-0.038	0.0571
Gene866	0.144	0.034	0.057
Gene867	-0.145	-0.042	0.0567
Gene868	0.183	-0.066	0.0564
Gene869	0.069	-0.035	0.0563
Gene870	0.006	0.04	0.0557
Gene871	-0.016	0.034	0.0554
Gene872	0.025	-0.036	0.0547
Gene873	0.189	0.048	0.0544
Gene874	0.01	-0.039	0.0544
Gene875	-0.006	-0.032	0.0542
Gene876	-0.167	-0.038	0.0541
Gene877	0.255	0.075	0.0531
Gene878	-0.062	-0.033	0.0528
Gene879	-0.064	0.037	0.0527
Gene880	0.167	-0.029	0.0521
Gene881	-0.091	-0.042	0.0514
Gene882	-0.02	-0.03	0.0512
Gene883	-0.111	0.041	0.0503
Gene884	-0.142	0.031	0.0501
Gene885	-0.184	-0.038	0.0501
Gene886	0.074	0.039	0.0498
Gene887	0.061	0.03	0.0495
Gene888	-0.188	0.07	0.0494
Gene889	-0.068	0.027	0.0492
Gene890	0.089	0.034	0.0491
Gene891	-0.02	0.027	0.0481
Gene892	0.047	0.032	0.0467
Gene893	-0.12	-0.029	0.0467
Gene894	-0.038	-0.055	0.0464
Gene895	0.268	-0.033	0.0463
Gene896	-0.021	-0.026	0.0455
Gene897	0.166	0.043	0.0454
Gene898	-0.083	0.03	0.0452
Gene899	0.099	-0.026	0.0437
Gene900	-0.104	-0.027	0.0435
Gene901	-0.259	0.047	0.0417
Gene902	-0.005	-0.031	0.0415
Gene903	-0.004	0.023	0.041
Gene904	0.096	0.04	0.0408
Gene905	0.079	-0.028	0.0405
Gene906	-0.061	0.039	0.0401
Gene907	-0.091	0.023	0.0401
Gene908	0.03	-0.029	0.0398
Gene909	0.123	0.029	0.0388
Gene910	0.088	-0.024	0.0386
Gene911	-0.039	-0.027	0.0384
Gene912	0.113	0.044	0.0375
Gene913	-0.079	-0.021	0.0374
Gene914	-0.009	0.019	0.0371
Gene915	0.079	0.038	0.0362
Gene916	-0.122	-0.023	0.0357
Gene917	-0.177	0.023	0.0354
Gene918	0.173	0.026	0.0348
Gene919	-0.094	0.017	0.0337
Gene920	-0.035	-0.032	0.0329
Gene921	-0.125	0.025	0.0329
Gene922	0.188	-0.018	0.0327
Gene923	-0.101	0.03	0.0318
Gene924	0.109	-0.02	0.0302
Gene925	0.151	-0.034	0.03
Gene926	0.411	0.024	0.0296
Gene927	0.173	0.018	0.0295
Gene928	-0.22	-0.017	0.0293
Gene929	0.062	-0.02	0.0292
Gene930	0.023	0.017	0.0288
Gene931	0.002	0.025	0.0287
Gene932	0	-0.029	0.0283
Gene933	0.3	-0.02	0.0275
Gene934	-0.011	0.015	0.0273
Gene935	0.159	-0.022	0.0272
Gene936	-0.02	-0.023	0.0271
Gene937	-0.336	0.022	0.0269
Gene938	0.053	-0.018	0.0261
Gene939	0.434	-0.024	0.0253
Gene940	0.046	-0.025	0.0249
Gene941	0.081	0.018	0.0245
Gene942	-0.325	0.024	0.0244
Gene943	0.278	-0.022	0.0241
Gene944	-0.083	0.017	0.023
Gene945	0.104	0.012	0.023
Gene946	-0.011	-0.017	0.0229
Gene947	-0.249	0.017	0.0221
Gene948	0.224	-0.02	0.0203
Gene949	0.041	0.025	0.0202
Gene950	-0.023	0.018	0.02
Gene951	0.009	0.028	0.0195
Gene952	0.065	0.013	0.0195
Gene953	0.047	-0.024	0.019
Gene954	0.089	0.017	0.0186
Gene955	-0.21	0.011	0.018
Gene956	-0.04	0.012	0.0179
Gene957	0.087	0.02	0.0174
Gene958	-0.081	-0.012	0.0172
Gene959	0.204	-0.011	0.0165
Gene960	-0.15	-0.013	0.0163
Gene961	-0.049	0.01	0.0162
Gene962	0.089	0.018	0.0156
Gene963	-0.125	-0.012	0.0156
Gene964	-0.328	-0.011	0.0153
Gene965	0.017	0.008	0.0142
Gene966	-0.009	0.009	0.0129
Gene967	0.098	0.01	0.0128
Gene968	-0.006	-0.007	0.0125
Gene969	0.058	0.013	0.0114
Gene970	0.09	-0.007	0.0104
Gene971	-0.004	0.008	0.0098
Gene972	-0.138	-0.007	0.0095
Gene973	-0.001	-0.005	0.0089
Gene974	-0.055	0.007	0.0088
Gene975	0.054	-0.005	0.0086
Gene976	-0.073	0.006	0.0084
Gene977	-0.163	-0.007	0.0084
Gene978	0.038	-0.007	0.0076
Gene979	-0.162	0.005	0.0069
Gene980	-0.025	-0.005	0.0068
Gene981	0.01	0.004	0.0065
Gene982	-0.064	-0.003	0.0059
Gene983	0.053	-0.005	0.0058
Gene984	-0.026	-0.004	0.0045
Gene985	0.139	-0.004	0.0043
Gene986	0.128	-0.002	0.0042
Gene987	0.095	0.003	0.0038
Gene988	-0.462	-0.007	0.0037
Gene989	0.089	-0.002	0.0035
Gene990	-0.076	0.002	0.003
Gene991	0.03	-0.002	0.0029
Gene992	0.153	-0.002	0.0026
Gene993	-0.202	0.001	0.0024
Gene994	0.125	-0.002	0.0024
Gene995	-0.145	0.002	0.0022
Gene996	0.017	0.001	0.0015
Gene997	0.226	-0.001	0.0005
Gene998	0.039	0	0.0005
Gene999	0.074	0	0.0004
Gene1000	-0.039	0	0
