	Population	LifeExpectancy	GDPPerCapita
R829	8865488	50.056	1088.277758
R830	9411381	54.081	1571.134655
R831	10917494	56.656	1621.693598
R832	12617009	59.942	2143.540609
R833	14781241	63.983	3701.621503
R834	16325320	67.159	4106.301249
R835	17647518	69.1	4106.525293
R836	19067554	70.647	4106.492315
R837	20711375	69.978	3726.063507
R838	21585105	67.727	1690.756814
R839	22215365	66.662	1646.758151
R840	23301725	67.297	1593.06548
R841	20947571	47.453	1030.592226
R842	22611552	52.681	1487.593537
R843	26420307	55.292	1536.344387
R844	30131000	57.716	2029.228142
R845	33505000	62.612	3030.87665
R846	36436000	64.766	4657.22102
R847	39326000	67.123	5622.942464
R848	41622000	69.81	8533.088805
R849	43805450	72.244	12104.27872
R850	46173816	74.647	15993.52796
R851	47969150	77.045	19233.98818
R852	49044790	78.623	23348.13973
R853	160000	55.565	108382.3529
R854	212846	58.033	113523.1329
R855	358266	60.47	95458.11176
R856	575003	64.624	80894.88326
R857	841934	67.712	109347.867
R858	1140357	69.343	59265.47714
R859	1497494	71.309	31354.03573
R860	1891487	74.174	28118.42998
R861	1418095	75.19	34932.91959
R862	1765345	76.156	40300.61996
R863	2111561	76.904	35110.10566
R864	2505559	77.588	47306.98978
R865	1439529	55.928	4834.804067
R866	1647412	59.489	6089.786934
R867	1886848	62.094	5714.560611
R868	2186894	63.87	6006.983042
R869	2680018	65.421	7486.384341
R870	3115787	66.099	8659.696836
R871	3086876	66.983	7640.519521
R872	3089353	67.926	5377.091329
R873	3219994	69.292	6890.806854
R874	3430388	70.265	8754.96385
R875	3677780	71.028	9313.93883
R876	3921278	71.993	10461.05868
R877	748747	42.138	298.8462121
R878	813338	45.047	335.9971151
R879	893143	47.747	411.8006266
R880	996380	48.492	498.6390265
R881	1116779	49.767	496.5815922
R882	1251524	52.208	745.3695408
R883	1411807	55.078	797.2631074
R884	1599200	57.18	773.9932141
R885	1803195	59.685	977.4862725
R886	1982823	55.558	1186.147994
R887	2046772	44.593	1275.184575
R888	2012649	42.592	1569.331442
R889	863308	38.48	575.5729961
R890	975950	39.486	620.9699901
R891	1112796	40.502	634.1951625
R892	1279406	41.536	713.6036483
R893	1482628	42.614	803.0054535
R894	1703617	43.764	640.3224383
R895	1956875	44.852	572.1995694
R896	2269414	46.027	506.1138573
R897	1912974	40.802	636.6229191
R898	2200725	42.221	609.1739508
R899	2814651	43.753	531.4823679
R900	3193942	45.678	414.5073415
R901	1019729	42.723	2387.54806
R902	1201578	45.289	3448.284395
R903	1441863	47.808	6757.030816
R904	1759224	50.227	18772.75169
R905	2183877	52.773	21011.49721
R906	2721783	57.442	21951.21176
R907	3344074	62.155	17364.27538
R908	3799845	66.234	11770.5898
R909	4364501	68.755	9640.138501
R910	4759670	71.555	9467.446056
R911	5368585	72.737	9534.677467
R912	6036914	73.952	12057.49928
R913	4762912	36.681	1443.011715
R914	5181679	38.865	1589.20275
R915	5703324	40.848	1643.38711
R916	6334556	42.881	1634.047282
R917	7082430	44.851	1748.562982
R918	8007166	46.881	1544.228586
R919	9171477	48.969	1302.878658
R920	10568642	49.35	1155.441948
R921	12210395	52.214	1040.67619
R922	14165114	54.978	986.2958956
R923	16473477	57.286	894.6370822
R924	19167654	59.443	1044.770126
R925	2917802	36.256	369.1650802
R926	3221238	37.207	416.3698064
R927	3628608	38.41	427.9010856
R928	4147252	39.487	495.5147806
R929	4730997	41.766	584.6219709
R930	5637246	43.767	663.2236766
R931	6502825	45.642	632.8039209
R932	7824747	47.457	635.5173634
R933	10014249	49.42	563.2000145
R934	10419991	47.495	692.2758103
R935	11824495	45.009	665.4231186
R936	13327079	48.303	759.3499101
R937	6748378	48.463	1831.132894
R938	7739235	52.102	1810.066992
R939	8906385	55.737	2036.884944
R940	10154878	59.371	2277.742396
R941	11441462	63.01	2849.09478
R942	12845381	65.256	3827.921571
R943	14441916	68	4920.355951
R944	16331785	69.5	5249.802653
R945	18319502	70.693	7277.912802
R946	20476091	71.938	10132.90964
R947	22662365	73.044	10206.97794
R948	24821286	74.241	12451.6558
R949	3838168	33.685	452.3369807
R950	4241884	35.307	490.3821867
R951	4690372	36.936	496.1743428
R952	5212416	38.487	545.0098873
R953	5828158	39.977	581.3688761
R954	6491649	41.714	686.3952693
R955	6998256	43.916	618.0140641
R956	7634008	46.364	684.1715576
R957	8416215	48.388	739.014375
R958	9384984	49.903	790.2579846
R959	10580176	51.818	951.4097518
R960	12031795	54.467	1042.581557
R961	1022556	40.543	743.1159097
R962	1076852	42.338	846.1202613
R963	1146757	44.248	1055.896036
R964	1230542	46.289	1421.145193
R965	1332786	48.437	1586.851781
R966	1456688	50.852	1497.492223
R967	1622136	53.599	1481.150189
R968	1841240	56.145	1421.603576
R969	2119465	58.333	1361.369784
R970	2444741	60.43	1483.136136
R971	2828858	62.247	1579.019543
R972	3270065	64.164	1803.151496
R973	516556	50.986	1967.955707
R974	609816	58.089	2034.037981
R975	701016	60.246	2529.067487
R976	789309	61.557	2475.387562
R977	851334	62.944	2575.484158
R978	913025	64.93	3710.982963
R979	992040	66.711	3688.037739
R980	1042663	68.74	4783.586903
R981	1096202	69.745	6058.253846
R982	1149818	70.736	7425.705295
R983	1200206	71.954	9021.815894
R984	1250882	72.801	10956.99112
R985	30144317	50.789	3478.125529
R986	35015548	55.19	4131.546641
R987	41121485	58.299	4581.609385
R988	47995559	60.11	5754.733883
R989	55984294	62.361	6809.40669
R990	63759976	65.032	7674.929108
R991	71640904	67.405	9611.147541
R992	80122492	69.498	8688.156003
R993	88111030	71.455	9472.384295
R994	95895146	73.67	9767.29753
R995	102479927	74.902	10742.44053
R996	108700891	76.195	11977.57496
R997	800663	42.244	786.5668575
R998	882134	45.248	912.6626085
R999	1010280	48.251	1056.353958
R1000	1149500	51.253	1226.04113
