	Row	Sample1	Sample2
Gene934	934	0.54	0.42
Gene935	935	0.54	0.42
Gene936	936	0.53	0.41
Gene937	937	0.53	0.4
Gene938	938	0.51	0.39
Gene939	939	0.5	0.35
Gene940	940	0.5	0.34
Gene941	941	0.49	0.34
Gene942	942	0.49	0.33
Gene943	943	0.48	0.32
Gene944	944	0.48	0.31
Gene945	945	0.48	0.31
Gene946	946	0.48	0.3
Gene947	947	0.46	0.3
Gene948	948	0.42	0.27
Gene949	949	0.41	0.26
Gene950	950	0.39	0.25
Gene951	951	0.38	0.25
Gene952	952	0.36	0.2
Gene953	953	0.34	0.2
Gene954	954	0.32	0.19
Gene955	955	0.32	0.19
Gene956	956	0.29	0.17
Gene957	957	0.28	0.16
Gene958	958	0.26	0.16
Gene959	959	0.26	0.16
Gene960	960	0.25	0.14
Gene961	961	0.25	0.13
Gene962	962	0.25	0.12
Gene963	963	0.24	0.1
Gene964	964	0.22	0.06
Gene965	965	0.22	0.06
Gene966	966	0.21	0.06
Gene967	967	0.21	0.03
Gene968	968	0.2	0.01
Gene969	969	0.19	-0.02
Gene970	970	0.18	-0.02
Gene971	971	0.15	-0.03
Gene972	972	0.13	-0.06
Gene973	973	0.09	-0.06
Gene974	974	0.05	-0.1
Gene975	975	0.04	-0.11
Gene976	976	0.02	-0.13
Gene977	977	0.01	-0.13
Gene978	978	-0.03	-0.14
Gene979	979	-0.07	-0.16
Gene980	980	-0.08	-0.18
Gene981	981	-0.11	-0.22
Gene982	982	-0.12	-0.25
Gene983	983	-0.15	-0.26
Gene984	984	-0.16	-0.31
Gene985	985	-0.16	-0.32
Gene986	986	-0.17	-0.35
Gene987	987	-0.19	-0.38
Gene988	988	-0.23	-0.38
Gene989	989	-0.3	-0.4
Gene990	990	-0.32	-0.53
Gene991	991	-0.33	-0.59
Gene992	992	-0.34	-0.62
Gene993	993	-0.38	-0.69
Gene994	994	-0.39	-0.75
Gene995	995	-0.44	-0.78
Gene996	996	-0.48	-0.89
Gene997	997	-0.51	-0.92
Gene998	998	-0.63	-1.28
Gene999	999	-0.76	-1.69
Gene1000	1000	-1.02	-1.78
